iter	MultiClass
0	1.068764673
1	1.043977207
2	1.022715663
3	1.004929726
4	0.9901409735
5	0.9780388357
6	0.9679904999
7	0.9587315997
8	0.949817555
9	0.9416536265
10	0.9344278382
11	0.9282289267
12	0.9223235727
13	0.9177712531
14	0.9146121996
15	0.9104999248
16	0.9075251515
17	0.904455405
18	0.9023381653
19	0.9005564689
20	0.8990591991
21	0.89759113
22	0.896571235
23	0.8956270321
24	0.8943068527
25	0.8925401584
26	0.8905106887
27	0.8888602639
28	0.8874925413
29	0.885849385
30	0.8850104764
31	0.8837441157
32	0.8827650825
33	0.8818040766
34	0.8810559685
35	0.880118988
36	0.8784547369
37	0.876321759
38	0.8751146552
39	0.8748440961
40	0.8735387672
41	0.8725103128
42	0.8718374691
43	0.871401408
44	0.8705681796
45	0.869901155
46	0.8691873784
47	0.8685233705
48	0.8683307654
49	0.8680089948
50	0.8678174704
51	0.8674142032
52	0.8671714786
53	0.8661899322
54	0.865418386
55	0.8650240013
56	0.8645578078
57	0.8641279323
58	0.8635012916
59	0.8630713378
60	0.8619458328
61	0.86052325
62	0.8596194594
63	0.8594350224
64	0.8590645225
65	0.8588504579
66	0.8578107133
67	0.8568116079
68	0.8560346785
69	0.8559464923
70	0.8552575948
71	0.854817351
72	0.8545353342
73	0.8538141054
74	0.8534295417
75	0.8528868345
76	0.8525181428
77	0.8522494898
78	0.85185833
79	0.8517913927
80	0.8512648855
81	0.8509819964
82	0.8500470338
83	0.8497834486
84	0.8495964735
85	0.8483202125
86	0.8478150624
87	0.8472723777
88	0.8469213721
89	0.8465057037
90	0.8463034171
91	0.8457418919
92	0.8448772389
93	0.8444556579
94	0.8443105304
95	0.8441447042
96	0.8437588789
97	0.8426803358
98	0.842453879
99	0.8422098052
100	0.840481906
101	0.8399254734
102	0.8397170001
103	0.839358601
104	0.8392243756
105	0.8386633696
106	0.8384115976
107	0.8375663648
108	0.8372190094
109	0.8365601283
110	0.8363623215
111	0.8354539349
112	0.8351573313
113	0.8346964896
114	0.8343328068
115	0.8340582035
116	0.8333886279
117	0.8332439728
118	0.8327590305
119	0.8320306488
120	0.8318407258
121	0.8304925761
122	0.8294878983
123	0.8292833403
124	0.8288234137
125	0.8279747071
126	0.8278615477
127	0.8277782422
128	0.8271743913
129	0.8265457345
130	0.8262235666
131	0.8258903734
132	0.8254089514
133	0.8252441002
134	0.8250788129
135	0.8242062465
136	0.8234021499
137	0.8221042373
138	0.8214561169
139	0.8213742038
140	0.8208435724
141	0.8206109254
142	0.8184564327
143	0.8175821932
144	0.8170647563
145	0.8168919423
146	0.8164655616
147	0.8163527057
148	0.8155275703
149	0.8150134997
150	0.8142917509
151	0.8141990376
152	0.8129542927
153	0.811681279
154	0.8113790304
155	0.8105450879
156	0.8100223743
157	0.809434531
158	0.8083452527
159	0.807723074
160	0.8073244537
161	0.8065716054
162	0.8063457324
163	0.8059796456
164	0.8057745551
165	0.8050805879
166	0.8038239165
