iter	Passed	Remaining
0	22	22060
1	58	29242
2	88	29353
3	128	32116
4	160	31884
5	187	31025
6	216	30678
7	258	32026
8	285	31440
9	317	31415
10	346	31189
11	370	30526
12	412	31313
13	450	31697
14	471	30988
15	492	30294
16	517	29909
17	543	29648
18	571	29514
19	608	29821
20	637	29719
21	664	29518
22	701	29797
23	738	30024
24	785	30638
25	814	30522
26	848	30585
27	872	30281
28	905	30318
29	935	30235
30	973	30436
31	1009	30540
32	1033	30291
33	1065	30270
34	1098	30283
35	1137	30468
36	1170	30473
37	1204	30500
38	1243	30632
39	1277	30658
40	1304	30515
41	1332	30382
42	1353	30127
43	1376	29907
44	1403	29790
45	1420	29458
46	1437	29154
47	1463	29034
48	1495	29016
49	1517	28825
50	1531	28501
51	1544	28163
52	1567	28007
53	1583	27741
54	1602	27526
55	1621	27327
56	1648	27277
57	1675	27211
58	1688	26933
59	1702	26675
60	1718	26447
61	1741	26353
62	1757	26142
63	1776	25974
64	1803	25941
65	1821	25783
66	1835	25560
67	1854	25422
68	1874	25295
69	1905	25322
70	1934	25310
71	1968	25368
72	2003	25441
73	2031	25416
74	2051	25301
75	2077	25252
76	2105	25235
77	2135	25247
78	2167	25268
79	2175	25023
80	2202	24992
81	2218	24839
82	2233	24674
83	2245	24481
84	2260	24338
85	2274	24168
86	2286	23998
87	2302	23866
88	2315	23696
89	2326	23526
90	2338	23356
91	2367	23365
92	2385	23263
93	2397	23105
94	2408	22946
95	2424	22826
96	2439	22714
97	2453	22583
98	2470	22481
99	2483	22350
100	2495	22214
101	2512	22117
102	2525	21990
103	2542	21907
104	2563	21849
105	2584	21801
106	2597	21681
107	2618	21630
108	2633	21529
109	2648	21427
110	2668	21370
111	2683	21274
112	2698	21183
113	2726	21192
114	2754	21197
115	2783	21215
116	2811	21217
117	2838	21213
118	2871	21261
119	2885	21159
120	2896	21038
121	2907	20923
122	2920	20823
123	2933	20721
124	2947	20635
125	2975	20642
126	3000	20624
127	3011	20516
128	3030	20461
129	3058	20467
130	3087	20483
131	3107	20436
132	3122	20354
133	3138	20286
134	3152	20196
135	3174	20168
136	3190	20100
137	3203	20012
138	3223	19966
139	3240	19905
140	3258	19853
141	3279	19816
142	3305	19807
143	3332	19812
144	3363	19833
145	3391	19838
146	3415	19821
147	3441	19810
148	3454	19727
149	3480	19724
150	3513	19753
151	3540	19752
152	3573	19784
153	3601	19782
154	3612	19696
155	3627	19626
156	3642	19559
157	3662	19519
158	3685	19493
159	3701	19431
160	3715	19363
161	3727	19282
162	3738	19199
163	3761	19173
164	3794	19202
165	3814	19164
166	3831	19109
167	3843	19033
168	3864	19004
169	3875	18919
170	3898	18898
171	3912	18833
172	3931	18792
173	3960	18803
174	3987	18799
175	4021	18826
176	4050	18833
177	4084	18862
178	4108	18844
179	4136	18841
180	4158	18814
181	4178	18780
182	4201	18759
183	4217	18704
184	4234	18653
